Contrast,Metric,ESS,Sample_Size,Delta,Baseline_Value,Challenger_Value
contrast_4,TP,1,200,0.0,2.4,2.4
contrast_4,TP,1,500,-0.09999999999999964,3.8,3.7
contrast_4,TP,1,1000,-0.1999999999999993,4.6,4.4
contrast_4,TP,1,2000,0.10000000000000053,7.3,7.4
contrast_4,TP,1,5000,0.09999999999999964,14.0,14.1
contrast_4,TP,1,10000,0.0,19.9,19.9
contrast_4,TP,10,200,-0.09999999999999964,8.6,8.5
contrast_4,TP,10,500,0.3000000000000007,8.7,9.0
contrast_4,TP,10,1000,0.5,10.2,10.7
contrast_4,TP,10,2000,0.6999999999999993,12.4,13.1
contrast_4,TP,10,5000,-0.3000000000000007,19.7,19.4
contrast_4,TP,10,10000,0.1999999999999993,24.5,24.7
contrast_4,FP,1,200,-0.10000000000000009,3.0,2.9
contrast_4,FP,1,500,0.09999999999999987,1.8,1.9
contrast_4,FP,1,1000,0.0,2.0,2.0
contrast_4,FP,1,2000,-0.3999999999999999,2.5,2.1
contrast_4,FP,1,5000,-0.10000000000000009,2.5,2.4
contrast_4,FP,1,10000,0.0,1.9,1.9
contrast_4,FP,10,200,-0.09999999999999787,25.2,25.1
contrast_4,FP,10,500,-0.09999999999999787,17.9,17.8
contrast_4,FP,10,1000,-0.1999999999999993,12.7,12.5
contrast_4,FP,10,2000,-0.5,7.6,7.1
contrast_4,FP,10,5000,0.20000000000000018,4.7,4.9
contrast_4,FP,10,10000,-0.19999999999999973,3.8,3.6
contrast_4,skeleton_TP,1,200,0.0,2.5,2.5
contrast_4,skeleton_TP,1,500,0.0,4.2,4.2
contrast_4,skeleton_TP,1,1000,-0.20000000000000018,5.4,5.2
contrast_4,skeleton_TP,1,2000,-0.29999999999999893,9.1,8.8
contrast_4,skeleton_TP,1,5000,0.0,16.1,16.1
contrast_4,skeleton_TP,1,10000,0.0,21.7,21.7
contrast_4,skeleton_TP,10,200,-0.09999999999999964,9.6,9.5
contrast_4,skeleton_TP,10,500,0.3000000000000007,10.2,10.5
contrast_4,skeleton_TP,10,1000,0.29999999999999893,11.9,12.2
contrast_4,skeleton_TP,10,2000,0.20000000000000107,15.2,15.4
contrast_4,skeleton_TP,10,5000,-0.09999999999999787,21.9,21.8
contrast_4,skeleton_TP,10,10000,0.0,26.9,26.9
contrast_4,skeleton_FP,1,200,-0.10000000000000009,2.9,2.8
contrast_4,skeleton_FP,1,500,0.0,1.4,1.4
contrast_4,skeleton_FP,1,1000,0.0,1.2,1.2
contrast_4,skeleton_FP,1,2000,0.0,0.7,0.7
contrast_4,skeleton_FP,1,5000,0.0,0.4,0.4
contrast_4,skeleton_FP,1,10000,0.0,0.1,0.1
contrast_4,skeleton_FP,10,200,-0.09999999999999787,24.2,24.1
contrast_4,skeleton_FP,10,500,-0.09999999999999787,16.4,16.3
contrast_4,skeleton_FP,10,1000,0.0,11.0,11.0
contrast_4,skeleton_FP,10,2000,0.0,4.8,4.8
contrast_4,skeleton_FP,10,5000,0.0,2.5,2.5
contrast_4,skeleton_FP,10,10000,0.0,1.4,1.4
